stop_id,stop_name,stop_lat,stop_lon
663,Gavhanevasti,18.71108,73.93208
33432,Mahindra Company,18.628429999999998,73.80739
666,Vadgaon Ghenand Shala,18.71935,73.94111
33435,Venutai Chavan College,18.469279999999998,73.83348000000001
667,Khandoba Mandir,18.72224,73.9432
33436,Kedarinagar Chowk,18.486720000000002,73.90016999999999
669,Shelgaon,18.73177,73.94638
33438,Poultry Farm Desai,18.57374,73.78083000000001
33439,Eagle Company,18.73227,73.67065
17055,Upper Depot,18.460620000000002,73.8692
33440,Wadebolhai,18.58677,74.07852
33443,Kondhwa Police Station,18.46285,73.88977
33444,Ganeshnagar Navlakh Umbre Road,18.7421,73.65807
33445,DP Road Corner,18.56051,73.80669
33446,Chinchwad Station,18.63845,73.79456
678,Subhash Vidyalaya,18.72551,73.99871999999999
33447,A Ward Office,18.65577,73.77219000000001
679,Bahulgaon,18.722070000000002,73.99947
680,Ganeshnagar,18.59378,73.86423
33448,Badadevasti,18.48829,74.08424000000001
33449,Bharati Vidyapeeth,18.45734,73.85208
33450,Godown Gultekdi,18.48769,73.87061
684,Jeevannagar Hospital,18.591160000000002,73.86326
33453,Judson Highschool,18.685029999999998,73.72589
686,Sangamwadi phata,18.5375,73.86336999999999
687,Kendriya Vidyalaya,18.54526,73.87648
33457,Gandhi Bhavan Phata,18.49481,73.81333000000001
33459,Shivtirthnagar Corner,18.5086,73.80912
33460,Shindevasti Susgaon,18.553,73.72883
33463,Mehandale Garage,18.504920000000002,73.83158
696,Sasoon Hospital,18.52506,73.87144
33464,Pandavnagar Senapati Bapat Road,18.5272,73.83463
33465,Bhau Patil Chowk,18.56622,73.83128
33466,Splender Country Club Gate Kramank,18.40074,73.69114
33467,Hud Company,18.68538,73.84676
699,Tingre Nagar Grampanchayat shala,18.576829999999998,73.89073
33469,Shivraj nagar,18.599420000000002,73.78039
33470,Kendriya Vidyalay Dehu Road,18.676820000000003,73.75249000000001
703,Vishrantwadi,18.57266,73.87921999999999
33471,Khadakwasla Dharan,18.43879,73.77319
33472,Kunjirmala,18.503429999999998,74.04477
33474,Vaiduwadi,18.503729999999997,73.92203
